RestaurantID,Name,Address,Time,Price,Latitude,Longitude
1011,Bún Đậu Làng Mơ Bonbon - Hà Trì,"No35 LK21 Hà Trì, P. Hà Cầu, Hà Đông, Hà Nội",,,,
1012,"Panana Korea - Lẩu, Mỳ Cay & Trà Sữa - Shop Online","114, Phố Trung Tựu , Bắc Từ Liêm, Hà Nội",,,21.062313,105.736026
1013,Panda Food - Mỳ Trộn & Đồ Ăn Vặt - Đức Giang,"20 Ngách 99/47 Đức Giang (Cửa Hàng Tạp Hoá Bình Hạnh), P. Thượng Thanh, Long Biên, Hà Nội",,,,
1014,Bánh Mì Khói - 320 Mỹ Đình,"320 Mỹ Đình, Nam Từ Liêm, Hà Nội",,,21.0225099,105.7745777
1015,Bún Chả & Nem Cua Bể - Yên Hòa,"67 Yên Hòa, P. Yên Hòa, Cầu Giấy, Hà Nội",,,21.0157781,105.7967178
1016,"Tiến Trang - Xoài, Cóc & Đồ Ăn Vặt - Shop Online","Số 4 Ngách 77 Ngõ 260 Cầu Giấy, Cầu Giấy, Hà Nội",,,,
1017,Cơm Thố - Dương Nội,"C07- 39 Geleximco Lê Trọng Tấn, Hà Đông, Hà Nội",,,,
1018,Tiến Vịt - Vịt Nướng - Minh Khai,"134D, Ngõ 254 Minh Khai, P. Mai Động, Hoàng Mai, Hà Nội",,,20.9938289,105.8582321
1019,Bánh Canh & Cua Cà Mau - Văn Quán,"Chung Cư CT2 Viện 103, P. Văn Quán, Hà Đông, Hà Nội",,,,
1020,"Phở Lành - Phở, Cơm, Lẩu Gà - KĐT Terra An Hưng","Số nhà V7, B05 KĐT Terra An Hưng, P. La Khê, Hà Đông, Hà Nội",,,,
1021,Gumbok Gà Rán Hàn Quốc - Vũ Phạm Hàm,"102 Vũ Phạm Hàm, P. Yên Hòa, Cầu Giấy, Hà Nội",,,21.0183219,105.7989769
1022,Vịt Quay Tài Vinh - Dương Quảng Hàm,"61 Dương Quảng Hàm, P. Quan Hoa, Cầu Giấy, Hà Nội",,,21.0377036,105.8003769
1023,"MiNi Food - Mì Trộn Indomie, Mì Cay & Đồ Ăn Vặt - Trâu Quỳ","Số 3 Ngõ 52 Đường Trâu Quỳ, TT. Trâu Quỳ, Gia Lâm, Hà Nội",,,21.0069238,105.9366122
1024,Bếp Nhà Sữa - Đồ Ăn Hàn Quốc - Mễ Trì Hạ,"Số 22 Ngách 59/130 Mễ Trì Hạ, P. Mễ Trì, Nam Từ Liêm, Hà Nội",,,,
1025,Neko Takoyaki - Bánh Bạch Tuộc - Lê Văn Hiến,"Đối Diện 87 Lê Văn Hiến, P. Đức Thắng, Bắc Từ Liêm, Hà Nội",,,,
1026,Xôi Bà Hiền - Xôi Thịt Nóng - Minh Khai,"25 Ngõ 622 Minh Khai, Hai Bà Trưng, Hà Nội",,,20.9966362,105.8710045
1027,Chân Gà Sả Tắc - Bếp Nhà 35 - Láng Hạ,"Số Nhà 35, Ngách 8, Ngõ 105 Láng Hạ, Đống Đa, Hà Nội",,,,
1028,Đỗ Đạo Đức - Quán Cơm Và Nước Ép - Lệnh Cư,"37 Hẻm 17 Ngách 22 Ngõ Lệnh Cư, Đống Đa, Hà Nội",,,,
1029,Tiệm Cơm Phong Thành Quán,"Nhà I Số 106B Khu Tập Thể Vĩnh Phúc, P.Vĩnh Phúc, Ba Đình, Hà Nội",,,,
1030,"Bé Mina Food - Bánh Gà, Nem Chua Rán & Xiên Ăn Vặt - Shop Online","Số 1 Ngõ 161 Hoa Lâm, P. Việt Hưng, Long Biên, Hà Nội",,,,
1031,Bánh Tráng Trộn Hồng Quân & Đồ Ăn Vặt - Nguyễn Khuyến,"96 Nguyễn Khuyến, P. Văn Miếu, Đống Đa, Hà Nội",,,21.028482,105.837812
1032,Cô Hương - Bánh Đa Trộn - Ngọc Hà,"Số 3 Ngõ 21 Ngọc Hà, Ba Đình, Hà Nội",,,,
1033,Bánh Mì Phố - Láng Hạ,"109 Láng Hạ, Bên Trong Cửa Hàng Bit Tết 3 Hòe Nhai, P. Láng Hạ, Đống Đa, Hà Nội",,,,
1034,"King Kong Quán - Lẩu Ly, Mì Trộn & Thế Giới Đồ Ăn Vặt - Phúc Lợi","29 Ngõ 193 Tổ 3 Phúc Lợi, P. Phúc Lợi, Long Biên, Hà Nội",,,,
1035,Mì Gà Tần & Chân Gà Lắc - Quán Ăn Đêm Sen - Láng,"Số 2 Ngõ 942 Đường Láng, P. Láng Thượng, Đống Đa, Hà Nội",,,21.0220689,105.8011295
1036,"Mẹ Miu - Gà Rán, Khoai Lắc & Trà Sữa - Trần Quốc Hoàn","199 Trần Quốc Hoàn, P. Dịch Vọng Hậu, Cầu Giấy, Hà Nội",,,21.0411435,105.7840202
1037,"Bún Đậu Mẹt, Cơm Ngon & Nem Tươi Hải Phòng - Tân Khai","Số 7 Ngõ 150 Tân Khai, P. Vĩnh Hưng, Hoàng Mai, Hà Nội",,,,
1038,Lẩu Nấm Hoàng Gia - Sushi - CT5 Sông Đà,"Toà nhà CT5 Sông Đà, KĐT Mỹ Đình, P. Mỹ Đình 1, Nam Từ Liêm, Hà Nội",,,,
1039,Mỳ Tống - Mỳ Vịt Quay Quảng Đông - Doãn Kế Thiện,"Số 44 Doãn Kế Thiện, P. Mai Dịch, Cầu Giấy, Hà Nội",,,,
1040,Dì Cẩm - Bún Thịt Nướng Hội An - Doãn Kế Thiện,"44 Doãn Kế Thiện, P. Mai Dịch, Cầu Giấy, Hà Nội",,,21.0413967,105.7778717
